180708_5.0020.30	338	21.84896639681234	49.63577811241975
180708_5.0020.70/2	340	21.85197881212577	49.63962212851312
180708_5.0020.70/2	341	21.85199521062878	49.639760482625775
180707_2.0003.1641	144	21.789855417595266	49.62533566425772
180707_2.0003.1336	122	21.792004294515426	49.626031520422266
180707_2.0003.1697	180	21.789826215993106	49.62399175875771
180707_2.0003.1581	197	21.77943746008009	49.6261402811723
180707_2.0003.1581	194	21.780221945993887	49.62590111833944
180707_2.0003.1583	128	21.78031607831883	49.62588420861422
180707_2.0003.1583	132	21.781542000995366	49.625516893737824
180707_2.0003.1559	196	21.78121072850176	49.62682169121186
180707_2.0003.1559	908	21.781188952109286	49.62682759295139
180707_2.0003.1330	190	21.791638526030837	49.62536997266505
180707_2.0003.1656	131	21.785520321650612	49.62559580204382
180707_2.0003.1669/3	157	21.785312611836485	49.62479855355633
180707_2.0003.1718	134	21.791053856425837	49.62542189595201
180707_2.0003.1718	135	21.790895287054084	49.625416954822164
180707_2.0003.1718	136	21.79049226850116	49.625403342260185
180707_2.0003.1718	138	21.790290858436375	49.62539410697124
180707_2.0003.1718	139	21.79009540388087	49.62539364271807
180707_2.0003.1718	140	21.791256812975988	49.62536421983533
180707_2.0003.1718	141	21.790764782468703	49.625358589911215
180707_2.0003.1718	145	21.790646620289927	49.62532729600477
180707_2.0003.1718	953	21.791410590966624	49.62526992298472
180707_2.0003.1718	970	21.791126212275103	49.62385537733856
180707_2.0003.1564	115	21.78118662362342	49.62669929476653
180707_2.0003.1564	118	21.782252926741233	49.62641631409097
180707_2.0003.1669/2	156	21.78531983101948	49.62485155660673
180707_2.0003.1669/2	157	21.785312611836485	49.62479855355633
180707_2.0003.1669/2	927	21.78594049897675	49.624714264892255
180707_2.0006.2765	268	21.829422824220853	49.62409150331597
180707_2.0006.2765	1200	21.829411125474202	49.62411172895562
180707_2.0006.2765	1207	21.829426861671962	49.62410918840206
180707_2.0006.1261	356	21.79699479102297	49.624590672614126
180707_2.0006.1261	357	21.79733907232598	49.62449982185989
180707_2.0006.3458	224	21.85139029030073	49.648590625398164
180707_2.0006.3458	225	21.851198950728175	49.648521805852226
180707_2.0006.3458	230	21.850165718616175	49.64814814267356
180707_2.0006.3458	742	21.850203764048	49.64816189059929
180707_2.0006.2865	253	21.830328727410393	49.624407727998026
180707_2.0006.2865	262	21.829859350538428	49.62426056950891
180707_2.0006.3070	248	21.830478113690504	49.6233838294373
180707_2.0006.1549	217	21.805705758215463	49.622694412462735
180707_2.0006.1549	1058	21.805780299818302	49.62264030204289
180707_2.0006.1301	221	21.800344943077217	49.62469578404219
180707_2.0006.1301	222	21.79998793904679	49.62480399605794
180707_2.0006.1260	354	21.79658912486052	49.624719980367075
180707_2.0006.1260	355	21.796600001379712	49.62471639869488
180707_2.0006.1260	356	21.79699479102297	49.624590672614126
180707_2.0006.2836	226	21.83528870752517	49.627741934581564
180707_2.0006.2837	227	21.83531230011317	49.62772117294461
180707_2.0006.2837	228	21.83533207105956	49.627703586036795
180707_2.0006.2837	1295	21.835323489784365	49.62769555526215
180707_2.0006.2716	275	21.828113266151515	49.62233505196857
180707_2.0006.2716	276	21.828088064423014	49.62236706352577
180707_2.0006.2716	277	21.827925211733977	49.622264192202074
