ID dzialki	vertex_index	x	y
140903_5.0007.217/2	0	21.633420883895063	51.19041207950774
140903_5.0007.217/2	1	21.633696498404806	51.18940709825586
140903_5.0007.217/2	2	21.63335432522958	51.18939699503766
140903_5.0007.217/2	3	21.633353903390017	51.18940796441327
140903_5.0007.217/2	4	21.63321402847059	51.189410069895814
140903_5.0007.217/2	5	21.63320622009373	51.18943528252873
140903_5.0007.217/2	6	21.632918982589523	51.190365353726214
140903_5.0007.217/2	7	21.633420883895063	51.19041207950774
140903_5.0007.217/1	0	21.633353903390017	51.18940796441327
140903_5.0007.217/1	1	21.63335432522958	51.18939699503766
140903_5.0007.217/1	2	21.633219231176103	51.18939305173599
140903_5.0007.217/1	3	21.63321402847059	51.189410069895814
140903_5.0007.217/1	4	21.633353903390017	51.18940796441327
140903_5.0007.214/2	0	21.632918982589523	51.190365353726214
140903_5.0007.214/2	1	21.63320622009373	51.18943528252873
140903_5.0007.214/2	2	21.632971261600826	51.18943026124979
140903_5.0007.214/2	3	21.632658577920665	51.19034105231176
140903_5.0007.214/2	4	21.632918982589523	51.190365353726214
140903_5.0007.214/1	0	21.63320622009373	51.18943528252873
140903_5.0007.214/1	1	21.63321402847059	51.189410069895814
140903_5.0007.214/1	2	21.633219231176103	51.18939305173599
140903_5.0007.214/1	3	21.6329863938717	51.18938622112413
140903_5.0007.214/1	4	21.632971261600826	51.18943026124979
140903_5.0007.214/1	5	21.63320622009373	51.18943528252873
140903_5.0007.211/9	0	21.632658577920665	51.19034105231176
140903_5.0007.211/9	1	21.632971261600826	51.18943026124979
140903_5.0007.211/9	2	21.632928186751055	51.18942905596112
140903_5.0007.211/9	3	21.632614747628875	51.19033697437723
140903_5.0007.211/9	4	21.632658577920665	51.19034105231176
140903_5.0007.211/8	0	21.6329863938717	51.18938622112413
140903_5.0007.211/8	1	21.632943319062644	51.189385015840884
140903_5.0007.211/8	2	21.632928186751055	51.18942905596112
140903_5.0007.211/8	3	21.632971261600826	51.18943026124979
140903_5.0007.211/8	4	21.6329863938717	51.18938622112413
140903_5.0007.211/7	0	21.632614747628875	51.19033697437723
140903_5.0007.211/7	1	21.632928186751055	51.18942905596112
140903_5.0007.211/7	2	21.632702717240885	51.189417060959535
140903_5.0007.211/7	3	21.632384710243187	51.19031556456459
140903_5.0007.211/7	4	21.632614747628875	51.19033697437723
140903_5.0007.211/6	0	21.632943319062644	51.189385015840884
140903_5.0007.211/6	1	21.632716348944914	51.18937833274107
140903_5.0007.211/6	2	21.632702717240885	51.189417060959535
140903_5.0007.211/6	3	21.632928186751055	51.18942905596112
140903_5.0007.211/6	4	21.632943319062644	51.189385015840884
140903_5.0007.211/5	0	21.632384710243187	51.19031556456459
140903_5.0007.211/5	1	21.632702717240885	51.189417060959535
140903_5.0007.211/5	2	21.63248209306574	51.189393263192194
140903_5.0007.211/5	3	21.632150662941797	51.19029381638789
140903_5.0007.211/5	4	21.632384710243187	51.19031556456459
140903_5.0007.211/4	0	21.632716348944914	51.18937833274107
140903_5.0007.211/4	1	21.63249009408989	51.18937164533459
140903_5.0007.211/4	2	21.63248209306574	51.189393263192194
140903_5.0007.211/4	3	21.632702717240885	51.189417060959535
140903_5.0007.211/4	4	21.632716348944914	51.18937833274107
140903_5.0007.208/9	0	21.632139319323112	51.18936014675404
140903_5.0007.208/9	1	21.63181026715666	51.1893470915176
140903_5.0007.208/9	2	21.63178829886934	51.18941436110348
140903_5.0007.208/9	3	21.632124133372916	51.18940032160851
140903_5.0007.208/9	4	21.632139319323112	51.18936014675404
140903_5.0007.208/8	0	21.63166750890394	51.189776567696846
140903_5.0007.208/8	1	21.631688607740163	51.189718921510476
140903_5.0007.208/8	2	21.63178829886934	51.18941436110348
140903_5.0007.208/8	3	21.63162984088445	51.18941746397516
140903_5.0007.208/8	4	21.63134265766015	51.19021772376073
140903_5.0007.208/8	5	21.631503799541616	51.190232855316346
140903_5.0007.208/8	6	21.631656062875344	51.189807822771755
